id,category_id,zone_id,status,reported_at,resolved_at,mois,trimestre,jour_semaine,annee,latitude_center,longitude_center,rayon_km,number_of_inhabitants,surface
1,1,1,validated,"2026-04-19 16:50:14",,4,2,1,2026,35.76430000,10.81130000,1.50,110084,108
6,2,1,"in progress","2026-04-17 16:50:14",,4,2,6,2026,35.76430000,10.81130000,1.50,110084,108
50,5,1,"in progress","2024-11-26 17:19:00",,11,4,3,2024,35.76430000,10.81130000,1.50,110084,108
52,7,1,resolved,"2022-06-08 10:45:00","2022-06-11 10:45:00",6,2,4,2022,35.76430000,10.81130000,1.50,110084,108
80,1,1,resolved,"2024-12-13 20:32:00","2024-12-21 20:32:00",12,4,6,2024,35.76430000,10.81130000,1.50,110084,108
162,3,1,rejected,"2023-03-21 04:30:00",,3,1,3,2023,35.76430000,10.81130000,1.50,110084,108
169,4,1,resolved,"2023-05-02 23:40:00","2023-05-15 23:40:00",5,2,3,2023,35.76430000,10.81130000,1.50,110084,108
241,2,1,reported,"2025-02-26 13:30:00",,2,1,4,2025,35.76430000,10.81130000,1.50,110084,108
276,5,1,resolved,"2025-04-12 08:23:00","2025-04-18 08:23:00",4,2,7,2025,35.76430000,10.81130000,1.50,110084,108
500,1,1,resolved,"2023-04-26 15:35:00","2023-05-03 15:35:00",4,2,4,2023,35.76430000,10.81130000,1.50,110084,108
569,5,1,"in progress","2024-10-17 10:38:00",,10,4,5,2024,35.76430000,10.81130000,1.50,110084,108
585,4,1,resolved,"2022-09-09 18:58:00","2022-09-22 18:58:00",9,3,6,2022,35.76430000,10.81130000,1.50,110084,108
864,2,1,reported,"2024-04-10 17:07:00",,4,2,4,2024,35.76430000,10.81130000,1.50,110084,108
989,2,1,"in progress","2025-04-09 14:51:00",,4,2,4,2025,35.76430000,10.81130000,1.50,110084,108
1053,5,1,validated,"2025-03-15 08:45:00",,3,1,7,2025,35.76430000,10.81130000,1.50,110084,108
1354,4,1,"in progress","2025-03-15 07:17:00",,3,1,7,2025,35.76430000,10.81130000,1.50,110084,108
1417,2,1,reported,"2025-04-14 10:01:00",,4,2,2,2025,35.76430000,10.81130000,1.50,110084,108
1435,2,1,"in progress","2025-04-13 16:43:00",,4,2,1,2025,35.76430000,10.81130000,1.50,110084,108
1445,5,1,resolved,"2024-09-10 09:34:00","2024-09-13 09:34:00",9,3,3,2024,35.76430000,10.81130000,1.50,110084,108
1462,4,1,resolved,"2025-01-07 15:37:00","2025-01-18 15:37:00",1,1,3,2025,35.76430000,10.81130000,1.50,110084,108
1466,2,1,resolved,"2025-05-27 17:31:00","2025-06-03 17:31:00",5,2,3,2025,35.76430000,10.81130000,1.50,110084,108
1617,5,1,reported,"2025-02-10 09:22:00",,2,1,2,2025,35.76430000,10.81130000,1.50,110084,108
1680,5,1,resolved,"2024-12-05 14:24:00","2024-12-11 14:24:00",12,4,5,2024,35.76430000,10.81130000,1.50,110084,108
